word,count,freq
doctors,977,36
presidency,978,36
ethnic,979,36
hit,980,36
amount,981,36
businesses,982,36
county,983,36
base,984,36
kept,985,36
germany,986,36
cuomo,987,36
authority,988,36
worse,989,36
received,990,36
park,991,35
reasons,992,35
agenda,993,35
extreme,994,35
syrian,995,35
decade,996,35
organizations,997,35
cities,998,35
named,999,35
giving,1000,35
stand,1001,35
gov,1002,35
levels,1003,35
status,1004,35
learning,1005,35
conversation,1006,35
housing,1007,35
appeal,1008,35
sent,1009,35
rich,1010,35
w,1011,35
fighting,1012,35
fellow,1013,35
views,1014,35
prime,1015,35
total,1016,35
term,1017,35
neither,1018,35
shooting,1019,35
met,1020,35
deadly,1021,35
knew,1022,35
short,1023,35
ad,1024,35
film,1025,35
yearold,1026,34
expansion,1027,34
judge,1028,34
mother,1029,34
cultural,1030,34
muslim,1031,34
leaving,1032,34
expect,1033,34
clean,1034,34
caused,1035,34
died,1036,34
accept,1037,34
measures,1038,34
earlier,1039,34
responsibility,1040,34
above,1041,34
banks,1042,34
happened,1043,34
currently,1044,34
anger,1045,34
building,1046,34
value,1047,34
victims,1048,34
minority,1049,34
patients,1050,34
looked,1051,34
resources,1052,33
limited,1053,33
owners,1054,33
cars,1055,33
muslims,1056,33
official,1057,33
nature,1058,33
manufacturing,1059,33
st,1060,33
heard,1061,33
explain,1062,33
fees,1063,33
works,1064,33
voting,1065,33
homeless,1066,33
present,1067,33
name,1068,33
happens,1069,33
bundy,1070,33
church,1071,33
electricity,1072,33
finding,1073,33
governmentxexxs,1074,33
supported,1075,33
choose,1076,33
existing,1077,33
poll,1078,33
continued,1079,33
regulations,1080,33
added,1081,33
key,1082,33
ruling,1083,33
scientists,1084,33
bit,1085,33
wealth,1086,32
river,1087,32
shexexxs,1088,32
screening,1089,32
yorkbbto,1090,32
damage,1091,32
path,1092,32
vast,1093,32
southern,1094,32
roughly,1095,32
post,1096,32
sector,1097,32
field,1098,32
situation,1099,32
evangelical,1100,32
third,1101,32
offered,1102,32
terrorist,1103,32
standard,1104,32
drugs,1105,32
individual,1106,32
god,1107,32
universal,1108,32
light,1109,32
citizenship,1110,32
spin,1111,32
staff,1112,32
board,1113,32
speak,1114,32
powers,1115,32
army,1116,32
christie,1117,32
progressive,1118,32
dead,1119,32
gas,1120,32
wages,1121,32
legislation,1122,32
older,1123,32
protection,1124,32
effects,1125,32
opinion,1126,32
necessary,1127,32
caught,1128,32
impossible,1129,32
marco,1130,32
reforms,1131,31
faith,1132,31
increased,1133,31
eight,1134,31
clearly,1135,31
india,1136,31
background,1137,31
eventually,1138,31
wexexxve,1139,31
sentence,1140,31
sentences,1141,31
changing,1142,31
bin,1143,31
cruzxexxs,1144,31
gives,1145,31
supposed,1146,31
pollution,1147,31
prevent,1148,31
results,1149,31
original,1150,31
series,1151,31
couldnxexxt,1152,31
pass,1153,31
capital,1154,31
david,1155,31
reach,1156,31
available,1157,31
deeply,1158,31
wildlife,1159,31
worst,1160,31
looks,1161,31
car,1162,31
harder,1163,31
emotional,1164,31
farmers,1165,31
rohingya,1166,31
follow,1167,31
demand,1168,31
yearxexxs,1169,31
interests,1170,31
seven,1171,31
oped,1172,31
wise,1173,31
raised,1174,31
provided,1175,30
stage,1176,30
behavior,1177,30
monday,1178,30
game,1179,30
supporters,1180,30
exchange,1181,30
list,1182,30
places,1183,30
politician,1184,30
voice,1185,30
seek,1186,30
easier,1187,30
france,1188,30
costs,1189,30
consumers,1190,30
putin,1191,30
decided,1192,30
liberals,1193,30
wonder,1194,30
build,1195,30
murder,1196,30
claims,1197,30
books,1198,30
solution,1199,30
born,1200,30
wife,1201,30
london,1202,30
produce,1203,30
israelxexxs,1204,30
areas,1205,30
suggested,1206,30
knows,1207,30
source,1208,30
poverty,1209,30
shown,1210,30
myself,1211,30
measure,1212,29
moved,1213,29
agencies,1214,29
hexexxd,1215,29
sold,1216,29
unless,1217,29
le,1218,29
argue,1219,29
starting,1220,29
fully,1221,29
learned,1222,29
refugee,1223,29
jeb,1224,29
generally,1225,29
oregon,1226,29
hate,1227,29
senior,1228,29
critics,1229,29
biggest,1230,29
sound,1231,29
stay,1232,29
summer,1233,29
memory,1234,29
focused,1235,29
ended,1236,29
becomes,1237,29
happy,1238,29
terms,1239,29
husband,1240,29
florida,1241,29
balance,1242,29
standards,1243,29
allowing,1244,29
art,1245,29
killing,1246,29
britain,1247,29
funds,1248,29
western,1249,29
finally,1250,29
fuel,1251,29
indeed,1252,28
female,1253,28
none,1254,28
appear,1255,28
addiction,1256,28
served,1257,28
identify,1258,28
meeting,1259,28
tuesday,1260,28
cold,1261,28
infrastructure,1262,28
space,1263,28
visit,1264,28
obvious,1265,28
embrace,1266,28
reading,1267,28
decide,1268,28
model,1269,28
direct,1270,28
xexxcif,1271,28
meant,1272,28
guy,1273,28
seeking,1274,28
takes,1275,28
cancer,1276,28
solar,1277,28
fears,1278,28
tests,1279,28
asking,1280,28
refused,1281,28
color,1282,28
committee,1283,28
operations,1284,28
press,1285,28
daily,1286,28
achieve,1287,28
providing,1288,28
image,1289,28
suggest,1290,28
environment,1291,28
centers,1292,27
task,1293,27
solutions,1294,27
species,1295,27
practice,1296,27
cover,1297,27
checks,1298,27
credit,1299,27
actual,1300,27
lawyer,1301,27
shot,1302,27
accounts,1303,27
fire,1304,27
harvard,1305,27
relationship,1306,27
road,1307,27
paul,1308,27
peoplexexxs,1309,27
losing,1310,27
sides,1311,27
ixexxd,1312,27
era,1313,27
district,1314,27
consequences,1315,27
remember,1316,27
refuge,1317,27
break,1318,27
commitment,1319,27
charges,1320,27
sandersxexxs,1321,27
gop,1322,27
paying,1323,27
experts,1324,27
watching,1325,27
values,1326,27
progress,1327,27
allies,1328,27
risks,1329,27
serve,1330,27
internet,1331,27
complex,1332,27
successful,1333,27
raising,1334,27
suddenly,1335,27
concerns,1336,27
