UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
M6,Amerijet International,JH,Amerijet International,1990,3,4156.59,758.45,5456.83,4363.35,698.29,293.14
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2013,2,13055.85,150649.26,231288.64,8492.26,145818.21,-5.86
NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2012,1,11835.18,28052.64,32116.15,8759.64,706.32,
ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Inc.,1993,2,26186,103679,315923,99566,160021,878
QX,Horizon Air,QX,Horizon Air,2013,2,183834,761986,868301,270910,301997,148675
QX,Horizon Air,QX,Horizon Air,2013,1,183163,761599,825310,227126,307432,148621
G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2016,3,10652.32,325623.86,230863.7,69144.76,158964.47,62.92
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2008,2,29447.32,70578.53,110786.98,151613.22,,-16.09
QX,Horizon Air,QX,Horizon Air,2006,2,114040,229158,412335,147138,70655,36282
QX,Horizon Air,QX,Horizon Air,1992,2,42364,39637,152092,64010,4248,5823
TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,1998,4,183681.1,374177.16,569808.29,166328.63,25139.21,364599.35
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2003,3,5023.48,3091.35,9634.42,6618.67,2087.16,418
AX,Trans States Airlines,9N,Trans States Airlines,1997,4,44490.38,16936.25,82132.49,25356.59,22487.75,1157.96
0JQ,Vision Airlines,0JQ,Vision Airlines,2011,3,11099.1,0,41335.26,35205.23,4238.49,0
QX,Horizon Air,QX,Horizon Air,1994,1,37129,44674,143171,41616,3544,11264
QX,Horizon Air,QX,Horizon Air,2014,1,192612,828542,849279,267380,263595,161981
WA,Worldwide Airlines Services,WA,Worldwide Airlines Services,1994,4,980.7,62.04,10059.59,39270.22,3025.69,
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2014,1,40208.92,50954.65,92799.5,126990.68,0,2957.98
JW,Arrow Air Inc.,JW,Arrow Air Inc.,2008,3,41862.18,4728.87,79348.75,49330.34,9694.58,
QX,Horizon Air,QX,Horizon Air,2014,2,196830,829221,857557,234260,305938,160841
WI,Sky Lease Cargo,WI,Sky Lease Cargo,2014,3,17727.81,31608.72,53229.47,25811.57,18505.22,0
QX,Horizon Air,QX,Horizon Air,1993,2,36318,44313,147157,49095,3852,9882
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2014,4,51800.67,672819.68,942573.76,9911.5,849749.82,97180.83
AX,Trans States Airlines,9N,Trans States Airlines,1994,4,40773.42,22943.7,85178.99,21135.49,32986.75,1034
AX,Trans States Airlines,AX,Trans States Airlines,2003,2,31038.03,37326.5,60103.67,24935.82,6503.17,197.63
PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,1991,2,5888.85,30107.94,34821.9,15566.78,12378.29,6015.65
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2007,1,27121.99,33242.16,75326.54,125664.85,,627.79
U2,UFS Inc.,U2,UFS Inc.,1993,4,5180.77,5.9,7049.27,2506.76,3650,
QX,Horizon Air,QX,Horizon Air,1991,1,27392,34939,140991,46321,13734,5698
NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2013,1,26785.91,33967.77,52785.64,7818.69,992.26,
AX,Trans States Airlines,AX,Trans States Airlines,2003,3,40188.1,22380.55,60047.26,26061.71,1697.7,257.94
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2007,3,29323.43,781352.38,495164.34,71879.08,95363.95,136080.14
QX,Horizon Air,QX,Horizon Air,2001,1,50324,118118,276042,120464,,13213
JW,Arrow Air Inc.,JW,Arrow Air Inc.,2008,1,31232.99,823.58,61342.64,55676.55,26914.97,
KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,1997,2,21104.37,,67807.42,9429.93,25847.97,
QX,Horizon Air,QX,Horizon Air,1993,3,36388,44258,146281,43255,3751,12526
QX,Horizon Air,QX,Horizon Air,1998,1,35238,67239,162823,55411,,7894
WI,Sky Lease Cargo,WI,Sky Lease Cargo,2014,4,20294.79,24544.98,43481.7,14644.09,20358.85,0
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2009,1,11991.55,115019.91,57574.78,10923.36,1800.37,-5.04
YX,Republic Airlines,RW,Republic Airlines,2007,1,3951.45,356758.87,439389.32,133058.97,279728.37,17262.95
WI,Sky Lease Cargo,WI,Sky Lease Cargo,2014,2,16110.6,31496.82,49197.38,23087.46,19927.68,0
QX,Horizon Air,QX,Horizon Air,2015,2,176795,855802,780546,161530,277012,167606
XE,ExpressJet Airlines Inc. (1),RU,ExpressJet Airlines Inc.,1998,2,88539,172640,287286,111500,110641,29529
OW,Executive Airlines,NA,Executive Airlines,1997,3,18582.45,19963.12,50604.45,20696.8,16750.36,75.88
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1993,1,18337.6,3817.86,24351.63,11560.25,3000,
QX,Horizon Air,QX,Horizon Air,2015,3,175670,855132,762593,150765,259329,170860
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2008,1,34052.12,773958.02,487155.92,70740.9,85649.29,137743.81
MQ,Envoy Air,MQ,Simmons Airlines,1996,3,21245.9,90249.6,163046.96,85328.39,72487.82,8928.08
MQ,Envoy Air,MQ,Simmons Airlines,1996,4,21013.26,89760.43,159245.69,56570.77,69898.44,19858.56
AX,Trans States Airlines,AX,Trans States Airlines,2004,2,47762.84,40040.38,86626.39,31587.48,15111.44,807.81
MQ,Envoy Air,MQ,Simmons Airlines,1994,3,33894.71,102544.07,116482.22,64420.1,3035.67,12525.38
RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,1996,4,4920.05,19241.76,16752.31,6618.18,1100,887.43
MQ,Envoy Air,MQ,Simmons Airlines,1997,1,21339.47,90143.98,159059.61,54657.71,67689.94,19861.54
RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,1997,4,6062.82,18436.56,17194.28,9252.84,1100,355.23
RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,1998,4,4994.23,18717.13,15415.15,9571.35,2472.84,2784.56
MQ,Envoy Air,MQ,Simmons Airlines,1997,2,24165.31,81447.09,164051.17,49876.82,64475.1,20483.73
MQ,Envoy Air,MQ,Simmons Airlines,1997,3,24298.99,83516.5,165117.19,42111.43,60162.11,20467.43
QX,Horizon Air,QX,Horizon Air,2016,1,146940,855487,716641,167179,223085,143873
AX,Trans States Airlines,AX,Trans States Airlines,2002,3,23979.69,43122.43,56578.74,27207.85,3095.23,293.25
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2003,4,4655.6,3091.74,8658.74,6469.62,2006.97,
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2014,3,61599.66,706855.84,995572.85,20680.54,910591.22,97180.83
AX,Trans States Airlines,AX,Trans States Airlines,2002,4,23403.44,43609.08,56081.27,29416.63,2737.29,261.38
09Q,"Swift Air, LLC",09Q,"Swift Air, LLC",2007,3,13882.57,,15190.06,8452.35,9388.82,
MQ,Envoy Air,MQ,Simmons Airlines,1995,1,156762.45,104274.39,237493.13,214691.64,1831.24,21715.4
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2015,1,48511.78,708279.11,975323.67,11929.99,867177.71,97022.34
MQ,Envoy Air,MQ,Simmons Airlines,1995,3,146922.77,105580.49,227819.18,216813.84,567.37,23317.56
MQ,Envoy Air,MQ,Simmons Airlines,1995,2,154540.49,105495.31,236371.02,222960.24,711.9,21927.27
YX,Republic Airlines,RW,Republic Airlines,2006,4,4687.76,204266.39,276546.59,110122.65,153900.79,6979.54
MQ,Envoy Air,MQ,Simmons Airlines,1996,1,24756.35,91299.22,203307.14,99940.25,106757.17,8494.85
MQ,Envoy Air,MQ,Simmons Airlines,1996,2,26232.18,92150.69,201396.54,96022.49,106022.82,8761.26
MQ,Envoy Air,MQ,Simmons Airlines,1998,1,30598.39,114466.51,189888.27,95963.85,25131.69,27074.31
WI,Sky Lease Cargo,WI,Sky Lease Cargo,2014,1,18236.24,31569.52,51971.26,25805.82,21522.45,0
MQ,Envoy Air,MQ,Simmons Airlines,1994,2,31894.68,102366.21,116697.74,67624.6,3044.72,12484.85
MG,Champion Air,MG,MGM Grand Air Inc.,1990,3,5340,26673,87554,9969,64021,
QX,Horizon Air,QX,Horizon Air,2000,3,38263,110615,256523,109470,,17056
MQ,Envoy Air,MQ,Simmons Airlines,1997,4,23932.8,85447.06,192882.43,74617.38,55679.08,27188.94
MQ,Envoy Air,MQ,Simmons Airlines,1994,1,48701.39,101265.32,134224.32,82818,4183.41,12439.04
MQ,Envoy Air,MQ,Simmons Airlines,1995,4,137715.65,90614.19,213351.62,215077.39,142.04,7873.4
AX,Trans States Airlines,9N,Trans States Airlines,2000,4,33585.36,27634.73,78684.59,33228.62,5497.08,563.08
XE,ExpressJet Airlines Inc. (1),RU,ExpressJet Airlines Inc.,1996,3,62519,153056,246206,150666,110396,8198
QX,Horizon Air,QX,Horizon Air,2001,2,50877,114264,266770,112362,11787,1
RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,1999,4,5667.42,18255.84,14846.29,10202.89,2550.63,
23Q,Songbird Airways Inc.,23Q,Sky King Inc.,2015,2,1143.78,141.25,2796.35,706.46,2945.58,308.9
QX,Horizon Air,QX,Horizon Air,2000,4,39371,111072,260565,94873,,11941
QX,Horizon Air,QX,Horizon Air,1998,4,28352,89413,187091,68196,,8736
AX,Trans States Airlines,AX,Trans States Airlines,2004,1,40027.8,25145.14,63760.78,30781.01,996.19,870.99
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2012,2,36655.61,81036.97,106815.28,158741.59,0,-8.24
FE,Primaris Airlines Inc.,FE,Primaris Airlines Inc.,2007,3,2669.98,1230.57,10503.9,3544.49,13848.91,
XP,XTRA Airways,XP,Casino Express,2003,2,1676.42,32791.44,11356.61,2313.54,36572.78,
WO,World Airways Inc.,WO,World Airways Inc.,1999,2,31726,81933,116002,57491,78943,3611
OW,Executive Airlines,OW,Executive Airlines,2003,3,112353.84,51425.49,134974.5,76515.04,,-3685.62
WV (1),Air South Inc. (1),WV,Air South Inc.,1994,4,5589.29,1080.66,9277.32,3999.96,10060.76,
QX,Horizon Air,QX,Horizon Air,2008,4,117114,532546,688189,212040,262176,107515
GL,Miami Air International,GL,Miami Air International,2008,2,14508.99,7820.89,24940.29,13634.43,1756.21,
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2006,3,22522.49,128703.11,44921.21,21175.75,27399.21,587.37
AX,Trans States Airlines,AX,Trans States Airlines,2003,1,22206.87,37910.25,52737.07,28866.85,2409.66,229.5
YX,Republic Airlines,RW,Republic Airlines,2007,2,5100.7,468256.14,556402.53,136802.92,375043.48,30347.45
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2011,4,43210.62,81207.18,116327.51,179008.66,0,-0.17
MG,Champion Air,MG,MGM Grand Air Inc.,1994,1,67437,79900,68996,5984,82440,
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2002,2,10746.23,55517.28,45658.35,13377.25,20719.43,499.76
KP,Kiwi International,KP,Kiwi International,1997,4,13185.64,4420.81,32818.82,24704.53,7576.92,
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2016,3,48716.16,1393526.35,1594936.33,97102.75,1342575.23,101710
QX,Horizon Air,QX,Horizon Air,1997,2,31166,71762,167180,63531,,11511
QX,Horizon Air,QX,Horizon Air,2010,3,92041,610462,693978,167447,350801,48111
K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2015,3,3083.04,1633.15,8882.27,8341.52,8789.92,0
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2009,1,30836.96,76397.69,113827.86,158821.2,,0
KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,2002,4,9490.55,8371.74,19903.15,17066.97,2337.63,
QX,Horizon Air,QX,Horizon Air,2015,1,186417,855557,820932,214261,272643,165400
PCQ,Pace Airlines,PCQ,Pace Airlines,2003,3,5040.06,649,7519.12,5884.09,1500,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2006,2,27503.79,747832.14,464346.43,71753.01,83794.74,126896.43
SAQ,Southern Air Transport Inc.,SAQ,Southern Air Transport Inc.,1990,3,53287.75,135035.82,130349.47,25130.27,51319.37,109.21
FE,Primaris Airlines Inc.,FE,Primaris Airlines Inc.,2008,2,2322.55,1657.78,8112.98,11273.37,25165.32,
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2005,4,6174.03,,8229.85,7321.94,772.39,347
U2,UFS Inc.,U2,UFS Inc.,1994,4,7163.66,327.43,10383.1,6619.5,1500,23.74
OW,Executive Airlines,OW,Executive Airlines,2003,1,88000.49,52905.68,122837.73,77079.17,,-3775.26
FE,Primaris Airlines Inc.,FE,Primaris Airlines Inc.,2005,4,1456.29,,4296.9,2394.29,31.43,
SPQ,Sun Pacific International,SPQ,Sun Pacific International,1999,3,549.03,10875.1,11106.49,16634.58,39.69,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2005,1,23086.67,741612.43,448301.48,66456.94,104355.75,123042.73
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2007,3,8342.26,,9952.2,8829.16,527.64,
CTQ,Custom Air Transport,CTQ,Custom Air Transport,2006,3,3987.34,14108.11,12989.82,10566.99,695,
WI,Sky Lease Cargo,WI,Sky Lease Cargo,2015,2,17016.27,23950.93,39434.96,10797.18,20077.9,0
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2004,3,8030.36,3091.35,11801.82,8568.84,1900.84,40
ZKQ,Zantop International,ZKQ,Zantop International,2003,2,2691.63,48451.36,13267.5,7229.39,,2139
JKQ,Express One International Inc.,JKQ,Express One International Inc.,1992,1,9008.74,47548.19,42706.36,12724.93,11626.97,8044.6
JKQ,Express One International Inc.,JKQ,Express One International Inc.,1997,1,14078.19,68225.41,60240.38,13533.48,22514.32,7497.43
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2006,1,278834.4,3447651.04,4192362.12,457134.34,3648805.72,-104601.92
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2007,2,27639.11,33479.79,75388.78,130707.19,,626.78
AX,Trans States Airlines,9N,Trans States Airlines,1995,2,42858.48,21706.74,84774.48,23525.06,31400.41,859.33
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2008,2,8443.58,,9863.48,8537.57,146.94,
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2005,3,6446.77,,8205.81,6012.68,1495.16,106
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2015,2,52870.15,744197.09,1007955.92,22714.73,875042.7,95422.51
YB,Trans Continental Airlines,YB,Trans Continental Airlines,1990,1,4300.51,12623.18,20256.94,12992.99,6130.8,1814.41
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2010,1,2679.99,1935.92,4318.22,2256.59,,
OW,Executive Airlines,OW,Executive Airlines,2003,4,80707.82,47043.97,100349.28,64160.47,,4
QX,Horizon Air,QX,Horizon Air,2008,1,129701,497236,690003,243560,243653,72570
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2008,1,7993.45,,9509.83,8583.74,194.1,
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2013,1,22066.57,527808.08,267067.13,91504.95,176248.54,-8853.59
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2012,3,24326.02,596925.77,310066.94,75179.33,131219.9,28431.39
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2016,2,51843.56,1212533.78,1435182.08,77572.61,1219873.47,101971.27
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2003,4,56516.95,2492380.79,3487455.42,331192.9,3137882.06,-71951.52
OW,Executive Airlines,OW,Executive Airlines,2010,3,21903.66,29943.34,34954.25,30668.73,,-93.06
0JQ,Vision Airlines,0JQ,Vision Airlines,2015,2,9180.83,0,14748.43,15448.42,25524.57,0
GL,Miami Air International,MMQ,Miami Air International,1995,3,11271.9,,12884.91,6180.37,,
YX,Republic Airlines,REP,Republic Airlines,2005,4,678.28,203028.48,208412.1,48299.86,161950.05,1734.79
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2007,4,32973.67,784260.08,494290.56,65814.58,99483.08,136758.27
OW,Executive Airlines,OW,Executive Airlines,2002,3,88517.27,26946.01,104841.61,58941.25,,1367.98
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2003,2,60975.57,2197414.72,3278067.99,442137.77,2874670.84,-68141.87
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2015,4,45214.35,982582.23,1228621.84,55630.02,1050171.56,102276.11
QX,Horizon Air,QX,Horizon Air,2007,3,112078,492604,631012,368691,65281,52445
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2007,1,28305.1,129283.41,48252.08,24256.28,27399.21,118.61
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2008,3,6815.26,,8038.1,6973.29,99.79,
AX,Trans States Airlines,9N,Trans States Airlines,2000,3,36279.81,27573.25,81480.73,35515.58,5593.83,574.82
RLQ,Reliant Airlines,RLQ,Reliant Airlines,2001,1,4350.95,30167.45,19116.56,2480.4,19695.84,924.22
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2015,3,54801.41,917260.13,1165867.36,33369.6,998468.98,95422.51
SPQ,Sun Pacific International,SPQ,Sun Pacific International,2000,2,569.95,9780.1,9042.03,16896.27,1611.66,
QX,Horizon Air,QX,Horizon Air,2014,3,189432,833141,836338,219150,289222,164502
AX,Trans States Airlines,9N,Trans States Airlines,2000,2,39267.6,27271.46,80195.33,39802.04,5880.43,606.68
AX,Trans States Airlines,9N,Trans States Airlines,2001,4,33077.39,53715.73,67280.28,34667,4076.6,398.84
PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,1992,2,3806.21,17695.82,22521.74,11599.17,8073.64,2171.66
XE,ExpressJet Airlines Inc. (1),RU,ExpressJet Airlines Inc.,1996,2,63453,138359,214348,143708,100108,334
QX,Horizon Air,QX,Horizon Air,2005,4,99040,179248,311545,113820,56458,30778
QX,Horizon Air,QX,Horizon Air,2001,4,57445,114870,253987,110801,,18319
QX,Horizon Air,QX,Horizon Air,2002,4,83571,120939,213426,119696,,13439
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2004,1,5355.51,3091.74,9202.46,6606.35,1947.42,
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2008,3,26592.27,73210.26,109278.65,150400.15,,-16.26
AX,Trans States Airlines,9N,Trans States Airlines,2001,3,40414.45,42852.6,76112.85,35588.34,4391.58,434.03
TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,1996,3,47436.49,319952.98,260590.33,46266.01,111470.48,84084.36
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2004,1,43016.4,2606341.02,3552179.41,340968.14,3210508.8,-103969.72
QX,Horizon Air,QX,Horizon Air,1991,4,31124,37478,149286,58838,4525,6092
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2004,2,126700.73,2827112.67,3814854.87,388693.7,3406364.21,-104044.1
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2003,1,53109.75,2098657.57,3187691.32,443484.35,2825562.12,-68951.11
RV (1),Reeve Aleutian Airways Inc.,RV,Reeve Aleutian Airways Inc.,1991,4,12373.79,24963.42,27675.09,5425.39,33.49,5293.16
AX,Trans States Airlines,9N,Trans States Airlines,2001,1,36867.05,28573.41,74809.77,38077.87,5004.02,504.42
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2002,3,11129.9,57785.9,46659.46,10917.45,21908.75,502.76
MG,Champion Air,MG,MGM Grand Air Inc.,1996,2,1068.18,446.05,3257.15,10425.37,1385.11,
PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,1993,1,4225.74,17721.83,22366.95,12456.68,7811.51,1410.48
FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,1999,1,48582.49,14833.94,103990.78,39430.55,67587.35,
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2004,4,199720.7,3122995.89,4060440.55,421220.51,3604323.55,-104318.64
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2004,3,95502.53,2970309.27,3881756.71,392369.77,3461468.46,-104106.82
YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2016,1,54397.38,1081767.44,1319816.57,63878.98,1119707.85,102276.11
ZKQ,Zantop International,ZKQ,Zantop International,2001,4,4706.42,49618.78,19270.59,7915.81,,2477
AX,Trans States Airlines,9N,Trans States Airlines,2001,2,37451.13,54419.66,75237.51,35977.32,4700.69,469.23
RIQ,Rich International Airways,RIQ,Rich International Airways,1991,1,2159.61,11845.51,12602.62,5717.84,6869.14,
YB,Trans Continental Airlines,YB,Trans Continental Airlines,1991,2,3207.59,11666.19,11905.1,11089.69,4740.78,719.26
TNQ,Emery Worldwide Airlines,TNQ,Emery Worldwide Airlines,1997,1,39731.47,324261.63,247670.76,43607.05,97516.72,80081.24
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2007,2,36038.47,129846.38,54485.82,28711.16,27601.43,118.61
TCQ,Express.Net Airlines,TCQ,Trans Continental Airlines,1999,1,1402.85,5288.48,7045.19,4407.72,,
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2005,1,181364.07,3271033.09,4128144.12,432102.19,3654050.96,-104611.52
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,1998,3,241147.19,333432.02,822600.58,178523.82,362183.68,40329.52
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,1998,4,237882.09,399839.96,919580.52,175439.08,433834.89,59547.55
RIQ,Rich International Airways,RIQ,Rich International Airways,1990,2,1109.22,3484.51,4064.25,2106.32,2005.95,
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,1999,2,255843.18,575052.4,1096345.44,202171.8,576969.47,63509.22
AX,Trans States Airlines,9N,Trans States Airlines,1995,3,43695.89,15025.66,80659.72,18852.04,30363.29,1042.34
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2005,1,6963.38,3189.57,10447.1,8090.85,1590.56,40
AX,Trans States Airlines,9N,Trans States Airlines,2002,1,32276.36,43206.73,66157.38,33612.62,3755.62,363.64
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,1999,4,273764.4,848840.57,1352735.2,204741.47,781149.53,92110.28
L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2011,3,10415.51,123415.56,58311.03,9483.7,-5298.67,-2.16
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,1999,3,266866.02,714537.36,1247971.52,227688.83,687568.09,64211.28
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2007,1,27808.68,770442.06,478122.09,67466.69,84334.51,134957.81
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,1999,1,221014.6,493902.99,991626.62,175041.93,507612.38,63843.57
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,1998,2,191733.79,260218.31,706220.74,152098.57,295061.37,40732.12
QX,Horizon Air,QX,Horizon Air,1992,4,36592,41270,147076,50037,4051,9878
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2013,3,37300.31,79428.53,99762.76,120805.8,0,-31.3
FNQ,Fine Airlines Inc.,FNQ,Fine Airlines Inc.,1999,2,52589.45,14833.94,112530.39,49114.98,64161.54,
OH,PSA Airlines Inc.,16,PSA Airlines Inc.,2010,4,35221.89,80222.33,112877.65,166253.68,0,-0.52
OW,Executive Airlines,OW,Executive Airlines,2005,3,68806.54,53597.41,86285.59,46929.53,,3070.37
SAQ,Southern Air Transport Inc.,SAQ,Southern Air Transport Inc.,1995,2,60982.24,207118.1,171623.03,28511.94,68149,122.01
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2004,2,14600.16,726714.44,439169.02,43369.56,123913.64,125408.07
MQ,Envoy Air,MQ,Envoy Air,2016,2,106716.59,185571,321555.61,94763.9,36404.59,672.91
27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",2015,3,23421.19,0,51654.03,36018.57,0,0
27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",2015,4,29672.62,0,54855,36952.09,0,0
27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",2016,1,40890.21,0,66075.18,45452.83,0,0
27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",2016,2,29407.26,0,66477.92,43889.08,0,0
27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",2016,3,37578.36,0,69573.62,46082.9,0,0
YB,Trans Continental Airlines,YB,Trans Continental Airlines,1991,3,2602.76,11077.03,10062.03,14735.44,4531.64,611.29
QX,Horizon Air,QX,Horizon Air,1993,1,35014,42288,144781,48813,3951,9418
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2000,1,278685.68,950154.39,2630790.51,202453.41,2077675.75,91721.49
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2007,2,7440.1,,8968.64,7978.04,557.49,
AX,Trans States Airlines,9N,Trans States Airlines,1996,1,45272.07,15847.84,82225.53,19952.8,28675.2,1271.45
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2012,3,6573.03,0,7695.31,9985.96,3478.64,0
OE,Westair Airlines Inc.,OE,Westair Airlines Inc.,1991,2,43510.1,39871.64,94157.83,58105.83,5366.92,26041.2
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,AJQ,Aerodynamics Inc.,2004,4,8100.1,3091.35,11666.8,8457.13,2194.57,40
OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,2016,3,72520.28,75512.67,138191.05,141967.35,0,-259.8
OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,2016,1,93013.46,72634.45,156346.45,154422.33,0,-259.8
PRQ,Florida West Airlines Inc.,PRQ,Florida West Airlines Inc.,1991,4,4806.02,15489.02,29030.67,11512.53,11076.13,6399.64
EZ,Evergreen International Inc.,EZ,Evergreen International Inc.,2004,3,11589.06,727706.29,434590.84,44883.93,120261.05,124603.45
MQ,Envoy Air,MQ,American Eagle Airlines Inc.,2000,2,293207.26,1041847.09,2736060.07,225790.99,2155746.1,91301.08
KR,Kitty Hawk Aircargo,KR,Kitty Hawk Aircargo,2004,3,10081.42,10429.28,10285.76,8708.74,,
