UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,YEAR,QUARTER,CURR_ASSETS,FLIGHT_EQUIP,ASSETS,CURR_LIABILITIES,NON_REC_LIAB,DEF_CREDITS
WI,Sky Lease Cargo,WI,Tradewinds Airlines,2006,4,10504.41,21169.13,57420.28,23395.94,14731.76,2481.16
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1991,2,12645.18,2650.02,16884.37,6533.45,,
GL,Miami Air International,MMQ,Miami Air International,2004,2,13183.73,1537.83,16899.69,8872.59,1679.36,1178.17
ZKQ,Zantop International,ZKQ,Zantop International,1991,2,35557.37,66175.82,84573.63,12449.94,2620.12,6300
UA,United Air Lines Inc.,UA,United Air Lines Inc.,1998,1,2845468,10649980,17397704,5584617,7481826,1398721
M6,Amerijet International,M6,Amerijet International,2000,4,25927.27,94731.11,98470.5,25606.93,53099.13,
GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,2014,1,16228.82,15722.74,28709.25,20859.71,0,1881.11
AQ,Aloha Airlines Inc.,AQ,Aloha Airlines Inc.,1992,2,49390.81,111911.45,192896.36,66808.66,62587.82,36012.65
DH,Independence Air,DH,Atlantic Coast Airlines,2003,1,285611.69,199095.26,550288.88,229638.44,101001.18,82937.13
ZKQ,Zantop International,ZKQ,Zantop International,1993,4,23531.13,65715.77,61778.64,3847.81,1700,5600
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1995,4,15726.73,4523.97,17071.9,11320.71,5850,
JW,Arrow Air Inc.,JW,Arrow Air Inc.,1996,2,17271.24,4534.99,19167.76,20485.56,5850,
0WQ,Avjet Corporation,0WQ,Avjet Corporation,2016,3,9064.46,5750,52739.15,11360.21,0,114.18
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2003,1,18625.09,113508.97,54110.76,4059.85,35448.87,19478.92
TCQ,Express.Net Airlines,TCQ,Express.Net Airlines,2006,1,7794,11177,15436,5797,,
GL,Miami Air International,GL,Miami Air International,2005,1,18928.04,1841.14,23564.96,14674.85,3006.25,
HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,1990,3,52663.65,60032.35,157358.78,106577.82,95189.88,-563.6
TCQ,Express.Net Airlines,TCQ,Express.Net Airlines,2005,1,9291,10144,17053,5846,,
TZ,ATA Airlines d/b/a ATA,TZ,American Trans Air Inc.,1991,3,28653.41,252564.95,214339.36,91311.03,68706.35,23406.22
9S,Southern Air Inc.,9S,Southern Air Inc.,2015,2,12403.57,1155.99,-19706.51,14501.48,5062.27,0
MG,Champion Air,MG,Champion Air,1998,2,5501.62,1605.85,7912.65,12600.59,19707.48,
SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines,2000,1,25031.35,71340.96,67769.8,63430.58,33054.32,
0WQ,Avjet Corporation,0WQ,Avjet Corporation,2014,2,16089.08,23996.25,34845.72,10729.88,20895.89,834.99
SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,2007,2,41410.62,1799.56,103925.34,76975.47,12858.05,
8C,Air Transport International,8C,Air Transport International,1997,3,26741.95,8101.95,88161.78,36178.13,68845.51,
9L,Colgan Air,9L,Colgan Air,2010,3,25721.33,367039,693093.46,33225.62,633074.06,28760.39
KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,2013,3,12971.84,8453.27,23228.46,2774.43,,
U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2002,1,16618.6,110291.43,65449.31,27560.88,65951.25,6740.17
FDQ,Great American Airways,FDQ,Great American Airways,1996,2,8927.67,24890.79,27041.25,5975.85,14714.8,
KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,2012,1,10201.07,3654.07,16466.44,3918.02,,
