word,count,freq
mothers,1020,11
herselfand,1021,11
nonsense,1022,11
intelligible,1023,11
larkins,1024,11
observation,1025,11
dont,1026,11
endure,1027,11
fancying,1028,11
above,1029,11
chair,1030,11
shehad,1031,11
infinitely,1032,11
fast,1033,11
countenance,1034,11
habit,1035,11
blessing,1036,11
arrival,1037,11
seriously,1038,11
wonderful,1039,11
unhappy,1040,11
size,1041,11
disappointed,1042,11
drawn,1043,11
lovely,1044,11
addition,1045,11
patty,1046,11
deep,1047,11
disappointment,1048,11
confusion,1049,11
advice,1050,11
hundred,1051,11
welcome,1052,11
required,1053,11
sea,1054,11
behind,1055,11
weymouth,1056,11
drive,1057,11
touch,1058,11
frightened,1059,11
effect,1060,11
mistaken,1061,11
value,1062,11
sortof,1063,11
possibility,1064,11
itit,1065,11
strength,1066,11
listen,1067,11
herthe,1068,11
truly,1069,11
cure,1070,11
powers,1071,11
occur,1072,10
connected,1073,10
compared,1074,10
garden,1075,10
brunswick,1076,10
tells,1077,10
feels,1078,10
entreat,1079,10
objection,1080,10
venture,1081,10
catch,1082,10
leisure,1083,10
presume,1084,10
absence,1085,10
eat,1086,10
hold,1087,10
receive,1088,10
servants,1089,10
fire,1090,10
fresh,1091,10
melancholy,1092,10
opening,1093,10
evidently,1094,10
expectation,1095,10
bringing,1096,10
public,1097,10
suckling,1098,10
begun,1099,10
asking,1100,10
hewas,1101,10
during,1102,10
attentive,1103,10
earnestly,1104,10
quarrel,1105,10
apples,1106,10
maam,1107,10
proposed,1108,10
utmost,1109,10
remarkably,1110,10
imagination,1111,10
civil,1112,10
comprehend,1113,10
paying,1114,10
prospect,1115,10
scruple,1116,10
proceeded,1117,10
command,1118,10
awkward,1119,10
around,1120,10
break,1121,10
returning,1122,10
madam,1123,10
steady,1124,10
havebeen,1125,10
trouble,1126,10
drawing,1127,10
somebody,1128,10
laid,1129,10
assist,1130,10
spare,1131,10
extreme,1132,10
light,1133,10
lay,1134,10
glance,1135,10
amusement,1136,10
fear,1137,10
indeedi,1138,10
suspicions,1139,10
conveyed,1140,10
againand,1141,10
watch,1142,10
favourable,1143,10
merit,1144,10
story,1145,10
desired,1146,10
suffer,1147,10
rate,1148,10
acknowledge,1149,10
increase,1150,10
unpleasant,1151,10
mortification,1152,10
beg,1153,10
claim,1154,10
unreasonable,1155,10
draw,1156,10
mile,1157,10
deeply,1158,10
syllable,1159,10
ones,1160,10
vanity,1161,10
subjects,1162,10
superiority,1163,10
boy,1164,10
cause,1165,10
express,1166,10
e,1167,10
admit,1168,10
instantly,1169,10
dream,1170,10
seated,1171,10
line,1172,10
material,1173,10
vicarage,1174,10
fit,1175,9
becoming,1176,9
impatient,1177,9
fairfaxand,1178,9
tolerably,1179,9
disagreeable,1180,9
judged,1181,9
suit,1182,9
drawingroom,1183,9
strange,1184,9
neighbours,1185,9
raise,1186,9
seat,1187,9
suffered,1188,9
sink,1189,9
eagerly,1190,9
ground,1191,9
finished,1192,9
harm,1193,9
forthe,1194,9
nephew,1195,9
spring,1196,9
lively,1197,9
human,1198,9
admitted,1199,9
preference,1200,9
pains,1201,9
bed,1202,9
grew,1203,9
sooner,1204,9
nice,1205,9
chance,1206,9
connexions,1207,9
month,1208,9
folly,1209,9
share,1210,9
scruples,1211,9
passage,1212,9
carriages,1213,9
rank,1214,9
beforeand,1215,9
dixons,1216,9
ignorant,1217,9
silly,1218,9
excepting,1219,9
felicity,1220,9
parting,1221,9
saidi,1222,9
pretend,1223,9
six,1224,9
probability,1225,9
differently,1226,9
warmth,1227,9
complexion,1228,9
places,1229,9
advantages,1230,9
concerned,1231,9
borne,1232,9
disengaged,1233,9
ourselves,1234,9
become,1235,9
anywhere,1236,9
perfection,1237,9
tall,1238,9
arm,1239,9
thus,1240,9
confess,1241,9
fairly,1242,9
inquiry,1243,9
escape,1244,9
satisfy,1245,9
writing,1246,9
gentlemans,1247,9
neighbourhood,1248,9
misery,1249,9
hawkins,1250,9
consent,1251,9
closed,1252,9
mebut,1253,9
charm,1254,9
herit,1255,9
dared,1256,9
kindly,1257,9
humble,1258,9
explanation,1259,9
gallant,1260,9
pardon,1261,9
conviction,1262,9
nash,1263,9
herbut,1264,9
setting,1265,9
apparent,1266,9
caution,1267,9
smiths,1268,9
sunk,1269,9
shewn,1270,9
feared,1271,9
separate,1272,9
wants,1273,9
wit,1274,9
himi,1275,9
daily,1276,9
visits,1277,9
acknowledged,1278,9
ordered,1279,9
himhe,1280,9
resolve,1281,9
partner,1282,9
himbut,1283,9
matters,1284,9
naturally,1285,9
united,1286,9
endeavour,1287,9
produce,1288,9
admire,1289,9
burst,1290,9
questions,1291,9
moving,1292,9
evils,1293,9
sensations,1294,9
bevery,1295,8
frankchurchill,1296,8
address,1297,8
named,1298,8
prove,1299,8
heavy,1300,8
hall,1301,8
relief,1302,8
positively,1303,8
civility,1304,8
youth,1305,8
gratified,1306,8
loves,1307,8
shewas,1308,8
distant,1309,8
fall,1310,8
carrying,1311,8
sacrifice,1312,8
mightbe,1313,8
gallantry,1314,8
grace,1315,8
timeand,1316,8
delicate,1317,8
inthe,1318,8
excessively,1319,8
motive,1320,8
smiles,1321,8
passion,1322,8
oughtto,1323,8
agitated,1324,8
watched,1325,8
depended,1326,8
hair,1327,8
report,1328,8
speaks,1329,8
manand,1330,8
morningand,1331,8
doors,1332,8
higher,1333,8
money,1334,8
exceedingly,1335,8
continue,1336,8
rule,1337,8
highest,1338,8
refused,1339,8
quietly,1340,8
formed,1341,8
solicitude,1342,8
fairfaxi,1343,8
distinct,1344,8
hurt,1345,8
inconvenience,1346,8
begged,1347,8
thinkof,1348,8
particulars,1349,8
liberal,1350,8
grateful,1351,8
forced,1352,8
itso,1353,8
clear,1354,8
homeand,1355,8
wholly,1356,8
school,1357,8
inquire,1358,8
temptation,1359,8
fix,1360,8
proceed,1361,8
peculiarly,1362,8
enter,1363,8
convince,1364,8
shut,1365,8
perceived,1366,8
ah,1367,8
keeping,1368,8
lane,1369,8
throw,1370,8
remain,1371,8
intelligence,1372,8
youoh,1373,8
wretched,1374,8
several,1375,8
gradually,1376,8
instance,1377,8
ideas,1378,8
fancied,1379,8
governess,1380,8
mistress,1381,8
thanks,1382,8
step,1383,8
source,1384,8
grow,1385,8
ithe,1386,8
himto,1387,8
addressing,1388,8
middle,1389,8
proposal,1390,8
meand,1391,8
leaving,1392,8
dealof,1393,8
advise,1394,8
judging,1395,8
blunder,1396,8
grandmama,1397,8
nervous,1398,8
beloved,1399,8
richmond,1400,8
emmacould,1401,8
stopt,1402,8
himthe,1403,8
bustle,1404,8
turns,1405,8
herselfshe,1406,8
increasing,1407,8
accepted,1408,8
recovered,1409,8
honourable,1410,8
takes,1411,8
troublesome,1412,8
failed,1413,8
herhe,1414,8
properly,1415,8
reply,1416,8
maid,1417,8
shook,1418,8
liberty,1419,8
ran,1420,8
missed,1421,8
succeeded,1422,8
neighbour,1423,8
anything,1424,8
deserved,1425,8
shake,1426,8
civilities,1427,8
pleasures,1428,8
accept,1429,8
hurried,1430,8
occupied,1431,8
goingto,1432,8
couldbe,1433,8
youit,1434,8
reserve,1435,8
falling,1436,8
lead,1437,7
suspected,1438,7
franks,1439,7
introduced,1440,7
forgetting,1441,7
goodnatured,1442,7
families,1443,7
moved,1444,7
fell,1445,7
amuse,1446,7
entire,1447,7
parcel,1448,7
recommended,1449,7
resumed,1450,7
trusted,1451,7
arranged,1452,7
ihave,1453,7
frequent,1454,7
meit,1455,7
secured,1456,7
astonished,1457,7
trust,1458,7
broad,1459,7
taught,1460,7
sick,1461,7
prevented,1462,7
itthe,1463,7
displeased,1464,7
larger,1465,7
ended,1466,7
peace,1467,7
farmer,1468,7
necessity,1469,7
attended,1470,7
undoubtedly,1471,7
consolation,1472,7
soft,1473,7
bride,1474,7
elseand,1475,7
knightleyand,1476,7
instant,1477,7
interrupted,1478,7
compassion,1479,7
private,1480,7
encouraging,1481,7
everything,1482,7
grieved,1483,7
doubted,1484,7
companions,1485,7
safety,1486,7
dressed,1487,7
warmest,1488,7
principal,1489,7
spectacles,1490,7
herown,1491,7
presumption,1492,7
behaved,1493,7
dull,1494,7
introduce,1495,7
christmas,1496,7
suffering,1497,7
seeming,1498,7
confined,1499,7
exploring,1500,7
obligedto,1501,7
indifferent,1502,7
chiefly,1503,7
rose,1504,7
certainty,1505,7
dark,1506,7
tears,1507,7
valuable,1508,7
dependence,1509,7
distressing,1510,7
eltonwas,1511,7
concerns,1512,7
tolerable,1513,7
uneasiness,1514,7
death,1515,7
grounds,1516,7
selina,1517,7
dread,1518,7
wherever,1519,7
expressed,1520,7
sound,1521,7
girls,1522,7
forty,1523,7
choice,1524,7
upright,1525,7
require,1526,7
affectionate,1527,7
thingto,1528,7
increased,1529,7
unwilling,1530,7
removed,1531,7
previous,1532,7
success,1533,7
evident,1534,7
talent,1535,7
seldom,1536,7
sending,1537,7
baked,1538,7
employ,1539,7
herselfto,1540,7
continual,1541,7
parted,1542,7
forming,1543,7
south,1544,7
intentions,1545,7
journey,1546,7
intercourse,1547,7
playing,1548,7
progress,1549,7
elegance,1550,7
heat,1551,7
substance,1552,7
birth,1553,7
reproach,1554,7
parish,1555,7
employment,1556,7
trifling,1557,7
schemes,1558,7
personal,1559,7
cared,1560,7
older,1561,7
unless,1562,7
assurance,1563,7
window,1564,7
surry,1565,7
constantly,1566,7
oneof,1567,7
pleasantly,1568,7
eldest,1569,7
itself,1570,7
recommendation,1571,7
quickly,1572,7
frequently,1573,7
foolish,1574,7
excuses,1575,7
tempted,1576,7
absent,1577,7
wingfield,1578,7
independent,1579,7
dayshe,1580,7
intention,1581,7
taylors,1582,7
simplicity,1583,7
writes,1584,7
engage,1585,7
danced,1586,7
engagements,1587,7
carry,1588,7
housekeeper,1589,7
affections,1590,7
habits,1591,7
itto,1592,7
expression,1593,7
windows,1594,7
conscious,1595,7
points,1596,7
declare,1597,7
happier,1598,7
opinions,1599,6
acceptable,1600,6
throat,1601,6
across,1602,6
message,1603,6
aloud,1604,6
greatly,1605,6
dress,1606,6
professed,1607,6
moreand,1608,6
apologies,1609,6
thanked,1610,6
ample,1611,6
spread,1612,6
visitor,1613,6
longed,1614,6
suspense,1615,6
unfortunate,1616,6
approach,1617,6
johnknightley,1618,6
encouraged,1619,6
property,1620,6
detained,1621,6
submitted,1622,6
supply,1623,6
awayand,1624,6
shame,1625,6
perrys,1626,6
itwould,1627,6
language,1628,6
precious,1629,6
parlour,1630,6
discovery,1631,6
neat,1632,6
sufficient,1633,6
comfortably,1634,6
save,1635,6
enjoy,1636,6
sixteen,1637,6
comparison,1638,6
entering,1639,6
creatures,1640,6
supposing,1641,6
hurrying,1642,6
corner,1643,6
talents,1644,6
brothers,1645,6
cautious,1646,6
resources,1647,6
george,1648,6
indulge,1649,6
elizabeth,1650,6
independence,1651,6
miserable,1652,6
gentlemanlike,1653,6
length,1654,6
introduction,1655,6
grave,1656,6
exquisite,1657,6
quitted,1658,6
womans,1659,6
withi,1660,6
luck,1661,6
guided,1662,6
watching,1663,6
bore,1664,6
pressed,1665,6
books,1666,6
alike,1667,6
muchto,1668,6
illness,1669,6
exertion,1670,6
female,1671,6
prevailed,1672,6
sentiments,1673,6
blessed,1674,6
affair,1675,6
pause,1676,6
quickness,1677,6
supper,1678,6
observing,1679,6
endured,1680,6
sought,1681,6
creating,1682,6
apprehension,1683,6
harrietand,1684,6
comforts,1685,6
describe,1686,6
suited,1687,6
interference,1688,6
bristol,1689,6
ceremony,1690,6
book,1691,6
denying,1692,6
unjust,1693,6
horror,1694,6
pair,1695,6
expressions,1696,6
patience,1697,6
june,1698,6
secure,1699,6
communication,1700,6
westonand,1701,6
itharriet,1702,6
deceived,1703,6
front,1704,6
hecould,1705,6
conclude,1706,6
itis,1707,6
repent,1708,6
white,1709,6
church,1710,6
hoping,1711,6
churchilli,1712,6
conclusion,1713,6
bye,1714,6
announce,1715,6
unnecessary,1716,6
visiting,1717,6
composure,1718,6
slow,1719,6
domestic,1720,6
partof,1721,6
ceased,1722,6
preferred,1723,6
recollections,1724,6
thingi,1725,6
god,1726,6
morrow,1727,6
employed,1728,6
parade,1729,6
tenderness,1730,6
iam,1731,6
flow,1732,6
indifference,1733,6
sincerely,1734,6
lovewith,1735,6
proud,1736,6
distinctly,1737,6
shewing,1738,6
courage,1739,6
ableto,1740,6
doubtful,1741,6
held,1742,6
hesitation,1743,6
hot,1744,6
misswoodhouse,1745,6
ihad,1746,6
warmer,1747,6
putting,1748,6
humour,1749,6
ofand,1750,6
goes,1751,6
declared,1752,6
indeedshe,1753,6
gruel,1754,6
beenthe,1755,6
perceive,1756,6
seven,1757,6
cottage,1758,6
notbe,1759,6
againshe,1760,6
nowi,1761,6
westonwas,1762,6
delightfully,1763,6
vast,1764,6
rendered,1765,6
thoughtof,1766,6
postoffice,1767,6
resentment,1768,6
politeness,1769,6
dreadfully,1770,6
concealment,1771,6
square,1772,6
height,1773,6
ours,1774,6
eltonand,1775,6
ladys,1776,6
induce,1777,6
alli,1778,6
symptoms,1779,6
liking,1780,6
betrayed,1781,6
depends,1782,6
crossed,1783,6
collected,1784,6
principles,1785,6
approaching,1786,6
thingit,1787,6
emmabut,1788,6
listening,1789,6
occupy,1790,6
indulgence,1791,6
missfairfax,1792,6
drawback,1793,6
entreaties,1794,6
emmai,1795,6
direction,1796,6
crowd,1797,6
mad,1798,6
february,1799,6
